Study,BioProject,Sample,Raw,Trimmed,Aligned,Input Reads,Assigned Reads
Becker2021,PRJNA744403,SRR15101706,18568153,17608421,13244179,,
Becker2021,PRJNA744403,SRR15101707,29131006,27728275,21150724,,
Becker2021,PRJNA744403,SRR15101708,25068848,23933242,17843815,,
Becker2021,PRJNA744403,SRR15101710,23675842,22589292,16140160,,
Becker2021,PRJNA744403,SRR15101711,24020166,22970710,17420397,,
Becker2021,PRJNA744403,SRR15101712,24937261,23859242,18528318,,
Becker2021,PRJNA744403,SRR15101713,16381619,15608494,11806064,,
Becker2021,PRJNA744403,SRR15101715,21751368,20795755,15602756,,
Becker2021,PRJNA744403,SRR15101718,27076800,25618757,18628896,,
Becker2021,PRJNA744403,SRR15101719,24642131,23395622,17661370,,
Becker2021,PRJNA744403,SRR15101720,26361873,25104164,19165374,,
Becker2021,PRJNA744403,SRR15101721,17900262,17056464,12909410,,
Becker2021,PRJNA744403,SRR15101722,25641209,24605872,18859358,,
Becker2021,PRJNA744403,SRR15101723,23770610,22828493,17405895,,
Becker2021,PRJNA744403,SRR15101724,25368402,24155276,18487294,,
Rutgers2021,PRJNA761443,SRR16077711,52359093,49739140,38272216,,
Stephens2021,PRJNA731596,SRR14610884,16112910,14477083,7605578,,
Stephens2021,PRJNA731596,SRR14610885,17292386,15607732,7181953,,
Stephens2021,PRJNA731596,SRR14610886,16614410,14907538,8367710,,
Stephens2021,PRJNA731596,SRR14610887,19451190,17462578,8235005,,
Stephens2021,PRJNA731596,SRR14610888,19712240,19234061,11150523,,
Stephens2021,PRJNA731596,SRR14610889,17031656,15600542,7025010,,
Stephens2021,PRJNA731596,SRR14610890,17577462,16042141,6608095,,
Stephens2021,PRJNA731596,SRR14610892,22676533,21937801,13229115,,
Stephens2021,PRJNA731596,SRR14610893,16714994,15309381,7594340,,
Stephens2021,PRJNA731596,SRR14610894,20254653,19784043,11430538,,
Stephens2021,PRJNA731596,SRR14610895,20155340,19407900,8834743,,
Stephens2021,PRJNA731596,SRR14610896,19792466,18035939,8509631,,
Stephens2021,PRJNA731596,SRR14610897,17193921,16183166,9590272,,
Stephens2021,PRJNA731596,SRR14610898,17793952,16252931,7643260,,
Stephens2021,PRJNA731596,SRR14610899,21137159,20566058,11198119,,
Stephens2021,PRJNA731596,SRR14610900,18158027,17726890,9231369,,
Stephens2021,PRJNA731596,SRR14610901,18725771,18241870,7529234,,
Stephens2021,PRJNA731596,SRR14610903,17270419,15285357,7731965,,
Stephens2021,PRJNA731596,SRR14610904,16601073,14902074,7347345,,
Stephens2021,PRJNA731596,SRR14610905,17484124,16069500,8472051,,
Stephens2021,PRJNA731596,SRR14610906,17436665,15552308,6555073,,
Stephens2021,PRJNA731596,SRR14610907,17303595,15575304,6546177,,
Stephens2021,PRJNA731596,SRR14610908,16358516,14397638,7801152,,
Stephens2021,PRJNA731596,SRR14610909,20099330,18140337,8550656,,
Stephens2021,PRJNA731596,SRR14610910,17404222,15848563,8627688,,
Stephens2021,PRJNA731596,SRR14610911,17431655,15928932,7705098,,
Stephens2021,PRJNA731596,SRR14610912,17172119,15660349,8198787,,
Stephens2021,PRJNA731596,SRR14610914,18984649,17864785,8520343,,
Stephens2021,PRJNA731596,SRR14610915,20690496,20160447,12156688,,
Stephens2021,PRJNA731596,SRR14610916,19280437,18185195,9873344,,
Stephens2021,PRJNA731596,SRR14610917,14044940,13330804,8196352,,
Stephens2021,PRJNA731596,SRR14610918,22512663,21969634,11115068,,
Stephens2021,PRJNA731596,SRR14610919,18424340,17223868,7814801,,
Stephens2021,PRJNA731596,SRR14610920,18124005,15911563,6830628,,
Stephens2021,PRJNA731596,SRR14610921,19561915,19147566,12056228,,
Stephens2021,PRJNA731596,SRR14610922,16039642,15606347,7850123,,
Stephens2021,PRJNA731596,SRR14610923,20693759,20174885,12284905,,
Stephens2021,PRJNA731596,SRR14610925,21989455,21456862,13829453,,
Stephens2021,PRJNA731596,SRR14610926,18048399,16257135,8564034,,
Stephens2021,PRJNA731596,SRR14610927,16853810,15085889,6338273,,
Stephens2021,PRJNA731596,SRR14610928,16990028,14857734,6637147,,
Stephens2021,PRJNA731596,SRR14610929,18637582,17464591,9168231,,
Stephens2021,PRJNA731596,SRR14610930,16846619,14986727,8090096,,
Stephens2021,PRJNA731596,SRR14610931,17077167,14950376,8937229,,
Stephens2021,PRJNA731596,SRR14610932,16477190,15545955,9232491,,
Stephens2021,PRJNA731596,SRR14610975,20173808,19680226,13989123,,
Stephens2021,PRJNA731596,SRR14610977,19145548,18671256,13773869,,
Stephens2021,PRJNA731596,SRR14610978,17178516,15365336,10213688,,
Stephens2021,PRJNA731596,SRR14610979,16415197,14782057,9332944,,
Stephens2021,PRJNA731596,SRR14610980,17937432,16265068,10649156,,
Stephens2021,PRJNA731596,SRR14610981,16596950,14918456,8479458,,
Stephens2021,PRJNA731596,SRR14610982,19342531,17626054,9945822,,
Stephens2021,PRJNA731596,SRR14610983,17763450,15988959,8791524,,
Stephens2021,PRJNA731596,SRR14610984,16994270,15109156,8987006,,
Stephens2021,PRJNA731596,SRR14610985,22557225,22004616,12758187,,
Stephens2021,PRJNA731596,SRR14610986,17208731,15597561,7857125,,
Stephens2021,PRJNA731596,SRR14610988,16256442,15216387,8246960,,
Stephens2021,PRJNA731596,SRR14610989,18360414,17352467,10517377,,
Stephens2021,PRJNA731596,SRR14610990,16687966,15787765,8701843,,
Stephens2021,PRJNA731596,SRR14610991,16947741,15133152,7084000,,
Stephens2021,PRJNA731596,SRR14610992,16338277,15348922,7351994,,
Stephens2021,PRJNA731596,SRR14610993,17944888,16843712,9211861,,
Stephens2021,PRJNA731596,SRR14610994,20107286,19603429,11180462,,
Stephens2021,PRJNA731596,SRR14610995,17128912,16116344,8573265,,
Stephens2021,PRJNA731596,SRR14610996,17638654,15538564,8177409,,
Stephens2021,PRJNA731596,SRR14610997,21615104,21141502,11791556,,
Stephens2021,PRJNA731596,SRR14610999,17713329,16801157,10090840,,
Stephens2021,PRJNA731596,SRR14611000,23163524,22616506,11486650,,
Stephens2021,PRJNA731596,SRR14611001,16445186,15237351,7400357,,
Stephens2021,PRJNA731596,SRR14611002,17923707,16098149,6878436,,
Stephens2021,PRJNA731596,SRR14611003,18087269,16565365,8970355,,
Stephens2021,PRJNA731596,SRR14611004,20479332,19971882,11359419,,
Stephens2021,PRJNA731596,SRR14611005,18388050,16697261,8030633,,
Stephens2021,PRJNA731596,SRR14611006,14375134,13587199,7201052,,
Stephens2021,PRJNA731596,SRR14611007,19027271,18593698,9764681,,
Stephens2021,PRJNA731596,SRR14611008,20190293,19754317,13951578,,
Stephens2021,PRJNA731596,SRR14611010,18472449,18051508,13331467,,
Stephens2021,PRJNA731596,SRR14611011,16019116,13683406,8357636,,
Stephens2021,PRJNA731596,SRR14611012,18738497,16935925,8248365,,
Stephens2021,PRJNA731596,SRR14611013,11936137,9863805,4618169,,
Stephens2021,PRJNA731596,SRR14611014,23039863,22440427,14447375,,
Stephens2021,PRJNA731596,SRR14611015,15391406,14711170,7270210,,
Stephens2021,PRJNA731596,SRR14611016,20736512,20263819,10550024,,
Stephens2021,PRJNA731596,SRR14611017,18657274,16771612,7274949,,
Stephens2021,PRJNA731596,SRR14611018,17089280,15433380,6537563,,
Stephens2021,PRJNA731596,SRR14611019,27470139,26854662,16620479,,
